id,smiles
X296,NCC(O)c1ccco1
X297,O=C(CCCO)c1ccc(F)cc1
X298,CCOC(=O)N1CCC(O)CC1
X299,Cc1ccc2nc(CO)cc(=O)n2c1
X300,Cc1csc2nc(CO)cc(=O)n12
X301,COc1cc(OC)cc(C(O)CN)c1
X302,COc1ccc(OC)c(C(O)CN)c1
X303,COC(=O)c1ccc2ccccc2c1O
X304,NCCCN1CCC(O)CC1
X305,O=[N+]([O-])c1cc(F)ccc1O
X306,Cc1nn(C)c(C)c1C(O)CN
X307,Cc1[nH]cnc1CO
X308,COC(=O)C(CO)NC(=O)OC(C)(C)C
X309,Cl.O[C@H]1CCNC1
X310,CC(O)c1c(Cl)ccc(F)c1Cl
X311,O=C(CO)NC1CCCc2ccccc21
X312,CNCc1cccc(O)c1
X313,Cc1cccc(O)c1[N+](=O)[O-]
X314,Cc1ccccc1CC(CN)CO
X315,OCc1ccc(OC(F)F)cc1OC(F)F
X316,NCC(O)CN1CCCCC1
X317,OCc1ccc2c(c1)OCCO2
X318,N#Cc1cc(C(=O)c2ccccc2O)cn(C2CC2)c1=O
X319,CCCc1ccc(O)cc1
X320,O=C(Nc1cccc(O)c1)C1CC1
X321,CCOC(=O)c1cnn(-c2ccccc2)c1O
X322,NCC(O)c1ccc(F)cc1
X323,COc1ccccc1CNCCCO.Cl
X324,O=[N+]([O-])c1ccc(O)c(-c2cccs2)c1
X325,OCC1CC(F)(F)C1(F)F
X326,Cc1cc(-c2ccccc2)nc2cc(O)nn12
X327,O=C(Oc1ccc(O)cc1)c1ccccc1
X328,Nc1ccc(O)c(-c2nc3ccccc3s2)c1
X329,Oc1ccc(-c2nnc3n2CCCCC3)cc1
X330,CN(C(=O)c1ccc(Cl)cc1)c1ccc(O)cc1
X331,OCc1cccc(Cl)c1
X332,COc1ccc(-c2c(C)oc3cc(O)ccc3c2=O)cc1
X333,Cc1oc(-n2c(C)ccc2C)c(C#N)c1C(C)O
X334,CCCC(=O)Nc1ccc(O)c(C(C)=O)c1
